bin,freq_hz,abs_h,training_noise,mean_abs_llr
734,4300.78125,2.076551398892657,1.9693767029712603,2.907826749227664
735,4306.640625,5.407139008663134,3.236226577471367,2.7050481700809996
736,4312.5,6.542562492623197,3.5482961048459063,4.706577629404726
737,4318.359375,5.55571888229236,5.533470463260757,4.589377026946685
738,4324.21875,1.8121606048411876,2.362372540829145,2.4093449668572853
739,4330.078125,1.525452037195364,1.084999033062516,1.7006394573310633
740,4335.9375,3.580757348445256,2.683415161115653,3.858676294477564
741,4341.796875,2.1197742423696804,1.767488627649937,1.7290256412375864
742,4347.65625,2.5463002738115645,2.404755792080675,2.9598715577276242
743,4353.515625,2.422742575790959,2.6954446498703346,3.498708516427327
744,4359.375,1.2729344972046095,1.004115978965152,1.9728401033549252
745,4365.234375,2.9106075053081346,1.7138609254513344,1.1565693801384624
746,4371.09375,0.8890348833182126,0.75,1.8774195005804943
747,4376.953125,4.583362386969197,4.438875129519838,4.870656540119514
748,4382.8125,3.9866184904790396,3.6476240714935497,4.16125999427224
749,4388.671875,2.320722976080387,1.5138001286099685,1.8339447971248313
750,4394.53125,2.0124717953585316,1.4482516918712982,1.4063733188525134
751,4400.390625,5.147807811542893,4.1975251824039885,3.297873945745457
752,4406.25,4.037725402837252,3.022962233745411,3.0549827843308615
753,4412.109375,1.5231063148699133,1.2002069188182494,1.7806740538022758
754,4417.96875,3.832963328430643,1.8937108792403679,1.5188740435518309
755,4423.828125,1.709793600981992,0.8432461182737572,1.1506691175061206
756,4429.6875,1.9974265559360238,1.0996703915569999,1.6006729346822648
757,4435.546875,5.0816903029190845,4.693485539751385,4.718580498499436
758,4441.40625,4.316774220984518,3.8494980290907597,3.0214273073978064
759,4447.265625,1.0779955400339414,0.8623437329740931,2.2074831171602196
760,4453.125,5.808762987498236,4.081248986172513,4.167576033750228
761,4458.984375,2.5195283037408807,1.5012754361591103,1.6836223298386184
762,4464.84375,2.4241604580343963,2.5774456555819185,2.33300822614782
763,4470.703125,2.49999323436407,1.73893235676369,1.7767949674693135
764,4476.5625,2.9859925203402873,3.0992391272115194,3.2153094008082657
765,4482.421875,3.854631263423992,2.6227443557193,2.7821602525471887
766,4488.28125,6.399085200017175,4.838435594967005,4.256834534444607
767,4494.140625,5.41087750498975,5.631526376943239,6.985308192586165
768,4500.0,4.338148575499298,3.032852987063481,3.889652481230386
769,4505.859375,3.884310618776458,2.701744367472827,3.150621878506455
770,4511.71875,3.497509762938409,2.5963026436069887,3.271376529155393
771,4517.578125,2.9069177913481368,2.0386768915742968,2.300817461215108
772,4523.4375,1.9676146642307137,1.3418083821052131,2.5685571600367267
773,4529.296875,4.144272191997418,2.769047869271007,2.5678319411462454
774,4535.15625,3.4146351312140957,3.2012009222260875,3.016968902531654
775,4541.015625,3.138053647207496,2.6101665512980086,3.1333294404480014
776,4546.875,1.46553267410136,1.5106952086176912,1.2634504106773004
777,4552.734375,0.5010225001916666,0.75,3.154048927069441
778,4558.59375,3.9990619907292575,2.761903121846485,2.3743060150885777
779,4564.453125,4.580250804176861,4.188301542411441,3.1260533753532145
780,4570.3125,3.898094741060958,3.83287622890533,5.039904853466873
781,4576.171875,4.616539713224874,5.401382591764278,4.8218137815753765
782,4582.03125,4.296814155135068,3.296871426194622,3.641546003338567
783,4587.890625,5.6771857531230765,4.7659691230516446,5.72799320434587
784,4593.75,5.291577418727251,4.601061898387888,4.596746614333342
785,4599.609375,5.2862613777603515,3.488944745307946,6.259393167641637
786,4605.46875,2.960627495322049,3.32681381948457,4.254938232049863
787,4611.328125,2.4153715307110026,2.0691315653326523,3.8307872246428794
788,4617.1875,4.191748784609327,2.5381528096878956,3.4781765520978145
789,4623.046875,4.145951856733981,3.140209625463852,4.6581193433773835
790,4628.90625,3.553707987257877,3.2683261989453762,4.016536368513506
791,4634.765625,3.3905042256199565,3.8056706017783943,2.2566651531204522
792,4640.625,5.221069801084159,5.483543120028387,5.32017326100719
793,4646.484375,5.772710141179162,5.037964919589529,4.830918328976889
794,4652.34375,4.327138062219019,2.833721526308522,3.0817698019598727
795,4658.203125,5.667811525899405,2.7379843936718546,2.725433706828976
796,4664.0625,3.1575445993806794,1.5566970338769384,1.8149050185600766
797,4669.921875,4.717259019745837,3.306325849764087,3.8561670555350887
798,4675.78125,3.410923609031683,1.5543357258548975,1.9819001899071993
799,4681.640625,5.164859587033559,2.475051244236172,2.634932606241711
800,4687.5,3.4945822718815487,1.888462683979185,3.734329013135022
801,4693.359375,1.0273764211681808,0.7717916207232731,1.8038003264259588
802,4699.21875,4.147977593447763,3.6771039051027463,5.186611834917266
803,4705.078125,4.580781657398741,2.900302386616241,4.3865913354791255
804,4710.9375,2.0538922319451354,1.548246689001234,2.03395431067426
805,4716.796875,3.9642327774020885,4.063612309333669,3.801062666185447
806,4722.65625,4.531695988725297,5.08232019922178,3.8333356101537426
807,4728.515625,2.9315283533131784,2.8823479123339686,2.2124136089524726
