bin,freq_hz,role,gain_run1,gain_run2,gain_run3,min_snr_db,min_phase_coherence,max_amplitude_cv,gain_std_db
283,13265.625,zero,0.4315325706479482,0.11878491916887327,0.09287158575423696,31.401626881619954,0.983500000307421,0.16592459761196643,5.851377840391706
284,13312.5,zero,0.23973791189365828,0.2343042799582289,0.3297658216172007,35.739421058759156,0.9828079602485845,0.05739037267796653,1.3548739949155988
285,13359.375,zero,0.14663504540839678,0.1046492391032183,0.38241290031657477,27.652880077940956,0.961193646521753,0.26050778514553524,4.767966852213279
286,13406.25,zero,0.5068227776624779,0.41460224127087486,0.5202766976542115,40.63539162671492,0.9845770202841879,0.0585233445406418,0.8809104538866109
287,13453.125,zero,0.9973044589804465,0.8048124178659022,0.8910205757803131,42.290193099679655,0.9837940844126343,0.0346928007284225,0.7607576950862196
288,13500.0,zero,0.7686452275588735,0.8769795948036732,0.9482815247719525,44.92888044991063,0.977415142206201,0.019482248270488143,0.752804501496273
289,13546.875,zero,0.510751447244186,0.421159438589027,0.5754931864942641,41.925306957208576,0.9781066477149089,0.11388512714679816,1.1173042555832235
290,13593.75,zero,0.6682656961824056,0.632099501179052,0.6422420206715678,44.94334259280018,0.9757405483419465,0.025899927541850193,0.2032247525658089
291,13640.625,zero,0.41709636112320614,0.17325921387409818,0.17825174006868233,28.368958870405482,0.962438189488912,0.11363248368480916,3.540468315388651
292,13687.5,zero,0.46875441501835435,0.498363230703823,0.5602418449252965,41.659126912365466,0.9831298480094218,0.029852849932550576,0.6424490603357137
293,13734.375,zero,0.48489962770893297,0.29688867363493954,0.47917300495752957,42.561574368729104,0.9726040079511168,0.04283623904685701,1.9848571328811258
294,13781.25,zero,0.4495842733560145,0.3642992670157474,0.5319543657897563,44.13191467144081,0.9791978294314484,0.09828315391886883,1.345217452248197
295,13828.125,zero,0.6778313033213648,0.5014856903099904,0.44373542506618524,46.06692573997776,0.977449306450208,0.05937933972282817,1.5463721150846814
296,13875.0,zero,0.7908656006245005,0.6217279892055347,0.9025481547455014,43.946542698921036,0.9818703142619037,0.09834554107097744,1.340209958972721
297,13921.875,zero,0.4098480642415842,0.5140359424107712,0.6288497990023673,40.242060275403546,0.976604467671709,0.07326154752034121,1.5189196080509029
298,13968.75,zero,0.7518429043213697,0.48015038388304854,0.5266337521111042,48.473446423307315,0.9788265004808341,0.03415030305323063,1.6792177909507486
299,14015.625,zero,0.7706923668145125,0.7492212402987285,0.7479000591829106,40.99505390393354,0.9781259521340415,0.03363994489367864,0.1194692995945516
300,14062.5,zero,0.6222554526503372,0.5218284097971781,0.3809538670808032,34.12172674136718,0.9786252646044019,0.02085768949904864,1.7629262126898892
301,14109.375,zero,0.040916782944406836,0.33670555883808484,0.39218381632142996,15.688739366116536,0.6818869687021247,0.6548973120653947,8.95858734789938
302,14156.25,zero,0.33594152512107933,0.29119791385778304,0.21113190537517895,32.46583501512485,0.968502224708421,0.18202709341052245,1.6870483761442292
303,14203.125,zero,0.9719432774504602,0.8300030404537397,0.5712729352055808,39.35432563203535,0.9819597645928017,0.04128242617677748,1.9354994099845702
304,14250.0,zero,0.7229853505038546,0.50329373732044,0.4051220701422945,35.314064806585534,0.9832796868618798,0.059789815581471964,2.0752545254454655
305,14296.875,zero,1.5569355269342864,1.204880305047335,1.1274945965504888,42.40270442306858,0.9765273767383105,0.02898604137526083,1.208645242328263
306,14343.75,zero,0.5251614620648424,0.481035922358529,0.22756054564699463,32.71430291180715,0.9611364148377847,0.15411956035948307,3.2594572651639657
307,14390.625,zero,0.07909464427555757,0.11968777677581961,0.09558534501236432,28.60918513750089,0.9416623100692634,0.1886189053374739,1.470695739976506
308,14437.5,zero,0.09409057132622048,0.17507779227734677,0.1478859479534469,30.026393038364127,0.964312033552973,0.28886926186491274,2.277121909585024
309,14484.375,zero,0.403302470221071,0.25762162655957277,0.3633215496444457,37.864147581188924,0.9832416313111725,0.06594539312046033,1.6631547505156503
310,14531.25,zero,0.27966520983593757,0.2799596887642106,0.38347748329702724,40.075834230618916,0.9658590049411312,0.08426079940206767,1.2904554312120424
