bin,freq_hz,real_h_mean,imag_h_mean,abs_h_mean,phase_h_mean,abs_h_std
28,1312.5,-0.9397346400969457,0.9951701926113116,1.3687457419331652,2.327552051985091,0.6212745548761143
29,1359.375,-0.9243843344137379,0.0100237426244692,0.9244386800246573,3.130749382673184,0.3761572484340227
30,1406.25,-1.4834880612929382,1.2913362097573688,1.9667958802654657,2.425332413849323,0.8428322498822678
31,1453.125,0.9629026238567804,0.5160258588068861,1.0924578481514318,0.4919585834954522,0.8162749300045868
32,1500.0,0.07224064961585522,-0.2638846938952062,0.27359430390468187,-1.30358479448709,0.23258220648462138
33,1546.875,1.9099225182836599,-0.7644831225527335,2.057240498948768,-0.38073840833118344,0.7587329301547058
34,1593.75,3.6605230923987047,-0.7905409855748152,3.74491446629396,-0.21269732683150658,1.3995163566750513
35,1640.625,2.020515676962885,-1.970365431906717,2.8222018949936465,-0.7728326160400708,0.9393271986892747
36,1687.5,0.40199534997328623,-0.9401976875406668,1.02253212812946,-1.1667553555252907,0.2614298051410151
37,1734.375,0.7444704296127346,-0.7278341301878615,1.041142997687681,-0.7740991483022481,0.3158638352502355
38,1781.25,0.7326628886818572,-0.37931757609398675,0.8250313521227305,-0.4777265079926283,0.3434509974025178
39,1828.125,0.8874673300928558,-1.0353496987620376,1.3636521773197094,-0.8621562848128265,0.48135946787401673
40,1875.0,0.31855676202084315,-0.8261196261325676,0.8854106659119357,-1.2027597391218308,0.5364225368400585
41,1921.875,-0.011094976890343613,-0.00034559983360169525,0.011100358167295519,-3.1104535059764045,0.4656971942922426
42,1968.75,1.1791491811603894,-0.7360507252992045,1.3900228277423006,-0.5580395767333156,0.56797349448044
43,2015.625,1.0199924348258667,-0.9436990780245561,1.3895871750150823,-0.7465656872647235,0.44816273969364145
44,2062.5,1.230896170854297,-0.7657383783474371,1.4496415582818856,-0.5565099561892984,0.6936819549310229
45,2109.375,0.8287566312662114,-1.2193711705608963,1.4743485359516486,-0.9738528610962528,0.6239852697546422
46,2156.25,0.827884838210363,-0.8546733802561937,1.1898991101169658,-0.8013181348840392,0.4286605857831662
47,2203.125,0.525359400610226,-0.775822637014568,0.936964921389149,-0.9755612923996285,0.4020271249872702
48,2250.0,0.5059950306043686,-0.7053090528407076,0.8680390722861339,-0.9484818023691869,0.30238469661587647
49,2296.875,0.10945949750666757,-1.2808847166500756,1.2855532034661796,-1.4855472754808952,0.5190394767636628
50,2343.75,-0.3410366739831756,-0.5911253027363299,0.6824479002360726,-2.0940782605066186,0.23448253878148162
51,2390.625,-0.30136186221844813,-0.5842674144880156,0.6574096011105113,-2.04699947131233,0.20520848751787046
52,2437.5,0.22933233976735645,-0.29678551271906983,0.3750666109147699,-0.9129117724011045,0.15115195099277154
53,2484.375,0.31422651734004664,-0.4773582974461533,0.5714973738700335,-0.9886353844025306,0.19830345377332997
54,2531.25,0.4572939130703577,-0.3191998004797559,0.5576793304019039,-0.6093951384921386,0.27649143269318005
